Utility,Contaminant_Factor,Zip,county_FIPS
Wood Heights PWS,1737,64017,29177
Dearborn PWS,886,64018,29165
Edgerton PWS,1435,64018,29165
Ferrelview PWS,1024,64018,29165
Lake Waukomis PWS,803,64018,29165
Northmoor PWS,907,64018,29165
Platte City PWS,1401,64018,29165
Platte County Cons Public Water Supply District 1,856,64018,29165
Platte County Public Water Supply District 2,2752,64018,29165
Tracy PWS,596,64018,29165
Weatherby Lake PWS,772,64018,29165
Weston PWS,1787,64018,29165
Birmingham Village of,919,64024,29047
Clay County Public Water Supply District 2,6230,64024,29047
Excelsior Springs,2162,64024,29047
Kearney PWS,1211,64024,29047
Missouri City PWS,761,64024,29047
Mosby PWS,2108,64024,29047
North Kansas City PWS,1012,64024,29047
Prathersville PWS,1644,64024,29047
Smithville PWS,2086,64024,29047
Bogard PWS,1994,64035,29177
Bosworth PWS,222,64035,29177
Carrollton PWS,1123,64035,29177
Dewitt PWS,2032,64035,29177
Hale PWS,1876,64035,29177
Norborne PWS,1150,64035,29177
Tina PWS,1951,64035,29177
Cameron PWS,1715,64048,29047
Gower PWS,392,64048,29047
Lathrop PWS,815,64048,29047
Plattsburg PWS,1370,64048,29047
Dekalb PWS,242,64401,29021
Easton PWS,197,64401,29021
Albany PWS,1523,64402,29075
Gentry County Public Water Supply District 1,4104,64402,29075
King City PWS,687,64402,29075
Middle Fork Water County,1159,64402,29075
Stanberry PWS,1551,64402,29075
Grant City PWS,1558,64420,29227
Sheridan PWS,1439,64420,29227
Worth County Public Water Supply District 1,1387,64420,29227
Amazonia PWS,391,64421,29003
Andrew County Public Water Supply District 1,2362,64421,29003
Bolckow PWS,2139,64421,29003
Bungalow Trailer Park,1389,64421,29003
Fillmore PWS,2224,64421,29003
Rosendale PWS,2432,64421,29003
Savannah PWS,1389,64421,29003
Clarksdale PWS,172,64422,29063
Dekalb County Public Water Supply District 1,335,64422,29063
Maysville PWS,2190,64422,29063
Osborn PWS,712,64422,29063
Stewartsville PWS,446,64422,29063
Union Star PWS,243,64422,29063
Barnard PWS,1536,64423,29147
Burlington Junction PWS,1416,64423,29147
Clearmont PWS,1564,64423,29147
Conception Junction PWS,642,64423,29147
Elmo PWS,1835,64423,29147
Graham PWS,1005,64423,29147
Hopkins PWS,1642,64423,29147
Maryville,677,64423,29147
Nodaway County Public Water Supply District 1,2281,64423,29147
Parnell PWS,1279,64423,29147
Ravenwood PWS,485,64423,29147
Skidmore PWS,1718,64423,29147
Bethany PWS,845,64424,29081
Cainsville PWS,1901,64424,29081
Gilman City PWS,1708,64424,29081
New Hampton PWS,2103,64424,29081
Ridgeway PWS,1537,64424,29081
Big Lake Village of,2499,64437,29087
Craig PWS,1320,64437,29087
Holt County Public Water Supply District 1,2128,64437,29087
Maitland PWS,737,64437,29087
Mound City PWS,1312,64437,29087
Oregon PWS,1630,64437,29087
Atchison County Public Water Supply District 1,2185,64446,29005
Fairfax PWS,1053,64446,29005
Rock Port PWS,1067,64446,29005
Tarkio Board of Public Works,1159,64446,29005
Westboro PWS,345,64446,29005
Braymer PWS,1964,64465,29049
Breckenridge PWS,1418,64465,29049
Caldwell County Public Water Supply District 1,5472,64465,29049
Hamilton PWS,1773,64465,29049
Kingston PWS,1793,64465,29049
Polo PWS,1635,64465,29049
Altamont PWS,1032,64497,29063
Coffey PWS,2175,64497,29063
Daviess County Public Water Supply District 1,3439,64497,29063
Gallatin PWS,378,64497,29063
Jameson,2825,64497,29063
Jamesport PWS,1457,64497,29063
Pattonsburg PWS,365,64497,29063
Chillicothe Municipal Utilities PWS,1644,64601,29117
Chula PWS,1699,64601,29117
Illinois American-Pontiac,782,64601,29117
Linn Livingston County Public Water Supply District 3,1600,64601,29117
Wheeling PWS,1401,64601,29117
Garden Grove Water Supply,1504,64632,29129
Lamoni Municipal Utilities,898,64632,29129
Leon Water Supply,1637,64632,29129
Mercer PWS,1832,64632,29129
Princeton PWS,1686,64632,29129
Sirwa #3 (leon),1369,64632,29129
Galt PWS,2176,64635,29117
Grundy County Public Water Supply District 1,1622,64635,29117
Laredo PWS,1787,64635,29117
Spickard PWS,1746,64635,29117
Trenton Municipal Utilities PWS,1348,64635,29117
Adrian PWS,2293,64720,29013
Amoret PWS,1408,64720,29013
Bates County Public Water Supply District 1,8602,64720,29013
Butler PWS,1362,64720,29013
Hume PWS,1198,64720,29013
Rich Hill PWS,1347,64720,29013
Rockville PWS,2198,64720,29013
Collins PWS,78,64724,29185
IL American - East St. Louis,1028,64724,29185
Twin Oaks Harbor,0,64724,29185
Blairstown PWS,1422,64726,29083
Calhoun PWS,2034,64726,29083
Deepwater PWS,1911,64726,29083
Henry County Public Water Supply District 1,5955,64726,29083
Montrose PWS,1901,64726,29083
Oakwood Water Association,43,64726,29083
Urich PWS,1396,64726,29083
Windsor PWS,0,64726,29083
Bronaugh PWS,744,64728,29217
Nevada PWS,145,64728,29217
Schell City PWS,68,64728,29217
Sheldon PWS,50,64728,29217
Vernon County Cons Public Water Supply District 1,88,64728,29217
Vernon County Public Water Supply District 2,316,64728,29217
Walker PWS,92,64728,29217
Warsaw PWS,108,64735,29083
Cole Camp PWS,26,64735,29083
Agape Boarding School,17,64744,29039
Cedar County Public Water Supply District 1,71,64744,29039
Chapel Hill Subdivision,27,64744,29039
El Dorado Springs PWS,113,64744,29039
Friendship Hills Subd,26,64744,29039
Stockton Hills Water Company,5,64744,29039
Stockton PWS,118,64744,29039
Village of Umber View Heights,34,64744,29039
Alba PWS,24,64748,29011
Arcola PWS,22,64748,29011
Asbury PWS,34,64748,29011
Barton Dade Cedar & Jasper Counties Consolidated Public Water Supply District 1,42,64748,29011
Carl Junction PWS,62,64748,29011
Carterville PWS,30,64748,29011
Carthage,644,64748,29011
Dadeville PWS,26,64748,29011
Duenweg PWS,23,64748,29011
Everton PWS,1,64748,29011
Golden City PWS,75,64748,29011
Greenfield PWS,11,64748,29011
Jasper County Public Water Supply District 1,110,64748,29011
Jasper PWS,52,64748,29011
Lamar PWS,1921,64748,29011
Liberal PWS,139,64748,29011
Lockwood PWS,48,64748,29011
Malfunction Junction,61,64748,29011
Mindenmines PWS,132,64748,29011
Missouri American - Joplin,6707,64748,29011
Oronogo PWS,54,64748,29011
Purcell PWS,240,64748,29011
Sarcoxie PWS,102,64748,29011
South Greenfield PWS,100,64748,29011
Sunset Mobile Home Park,1250,64748,29011
Webb City,435,64748,29011
Neosho,2172,64804,29145
Anderson PWS,48,64831,29119
Goodman PWS,9,64831,29119
Lanagan PWS,115,64831,29119
Liberty Water Noel,96,64831,29119
McDonald County Public Water Supply District 1,350,64831,29119
Pineville PWS,96,64831,29119
Sky Blue Water Inc.,36,64831,29119
Southwest City PWS,397,64831,29119
Big Valley Park Mobile Home Park,0,64840,29145
Diamond PWS,0,64840,29145
Fairview PWS,190,64840,29145
Granby PWS,255,64840,29145
Highway 43 Mobile Home & Rv Park,21,64840,29145
Boondocks Enterprises Llc,3,64840,29145
Newton County Public Water Supply District 1,52,64840,29145
Red Oak Estates,5,64840,29145
Redings Mill PWS,233,64840,29145
Seneca PWS,9,64840,29145
Stella PWS,5,64840,29145
Timberlost Mobile Home Park,103,64840,29145
Monett PWS,364,64842,29145
Cassville PWS,31,64842,29145
Aurora Verona,53,64848,29109
Southwest Rural Water District 1,10,64861,29119
Freistatt PWS,0,64873,29109
Halltown PWS,0,64873,29109
Heim Mobile Home Park,51,64873,29109
Lucky Lady Mobile Home Park,14,64873,29109
Marionville,6,64873,29109
Miller PWS,25,64873,29109
Mount Vernon PWS,44,64873,29109
Park Woods Water Company Inc.,0,64873,29109
Pierce City PWS,0,64873,29109
Stotts City PWS,2,64873,29109
Vaughn Trailer Park,7,64873,29109
Youngberg Estates Mobile Home Park,157,64873,29109
Airport Homeowners Association Inc.,221,64874,29009
Arrow Point Village PWS,23,64874,29009
Barry County Public Water Supply District 2,24,64874,29009
Butterfield PWS,0,64874,29009
Central Crossing Acres II,1,64874,29009
Chain O Lakes Village PWS,71,64874,29009
Elmo Subdivision 1 & 2 & 3,2,64874,29009
Emerald Beach Village of,30,64874,29009
Exeter PWS,38,64874,29009
Fox Woods Subdivision,1,64874,29009
Green Shores Subdivision,4,64874,29009
Green Woods,1,64874,29009
Kings River Beach Water Association Inc.,5,64874,29009
Knob Hill Acres,37,64874,29009
Ozark Villa At Shell Knob,15,64874,29009
Purdy PWS,734,64874,29009
Roaring River Homeowners Association Inc.,27,64874,29009
Seligman PWS,7,64874,29009
Shell Rock Utilities,1,64874,29009
Sweetwater Beach Subdivision,101,64874,29009
Twin Rivers Subdivision,157,64874,29009
Washburn PWS,5,64874,29009
Wheaton PWS,167,64874,29009
Chamois PWS,24,65001,29125
Frankenstein PWS,0,65001,29125
Freeburg PWS,0,65001,29125
Linn Acres,1,65001,29125
Linn PWS,56,65001,29125
Maries County Public Water Supply District 1 North,0,65001,29125
Meta PWS,15,65001,29125
Osage County Public Water Supply District 1,0,65001,29125
Town of Martin,22,65001,29125
Vienna PWS,125,65001,29125
Ashland PWS,226,65010,29019
Blue Acres Mobile Home Park,2071,65010,29019
Boone County Cons. PWSD1,300,65010,29019
Boone County Public Water Supply District 10,67,65010,29019
Boone County PWSD 9,88,65010,29019
Centralia PWS,16,65010,29019
Hallsville PWS,70,65010,29019
Kuhle H20,32,65010,29019
Sturgeon PWS,93,65010,29019
10 4 Water System,2,65011,29141
Barnett PWS,267,65011,29141
Bendco Cove,89,65011,29141
Blue Anchor Bay Condominiums,1,65011,29141
California PWS,123,65011,29141
Clarksburg PWS,50,65011,29141
Jamestown PWS,63,65011,29141
Johnson Bay Subdivision,9,65011,29141
Laurie PWS,89,65011,29141
Millstone Luxury Condominiums,1,65011,29141
Moniteau County Public Water Supply District 1,0,65011,29141
Morgan County Public Water Supply District # 2,6,65011,29141
Stover PWS,102,65011,29141
Syracuse PWS,0,65011,29141
Timberlake Master Association Inc.,67,65011,29141
Tipton PWS,30,65011,29141
Tonys Point,142,65011,29141
Versailles PWS,16,65011,29141
Zwanzig Mobile Home Park,0,65011,29141
Black Forest Hoa Inc. No 2,239,65014,29073
Bland PWS,72,65014,29073
Gasconade PWS,125,65014,29073
Gascony Village,2,65014,29073
Hermann PWS,20,65014,29073
Lake Northwoods Utility Inc.,0,65014,29073
Morrison PWS,12,65014,29073
Owensville PWS,46,65014,29073
Rosebud PWS,1,65014,29073
Beach Club Condo Association,2,65017,29131
Brookview Apartments,21,65017,29131
Doolittle Mobile Home Park,26,65017,29131
Doyle Apartments,6,65017,29131
Eldon PWS,3,65017,29131
Iberia PWS,45,65017,29131
Isla Del Sol,25,65017,29131
Lake Ozark PWS,11,65017,29131
Lookout Point Subd,1,65017,29131
Miller County Care Center,0,65017,29131
Oak Hill Forest Subdivision,0,65017,29131
Osage Ridge Apts,140,65017,29131
Palace Lane Estates,3,65017,29131
St. Elizabeth,4,65017,29131
Blackwater PWS,2893,65018,29135
Boonville PWS,2951,65018,29135
Bunceton PWS,0,65018,29135
Cooper County Consolidated Public Water Supply District # 1,1328,65018,29135
Cooper County Public Water Supply District 1,74,65018,29135
Otterville PWS,3,65018,29135
Pilot Grove PWS,36,65018,29135
Prairie Home PWS,34,65018,29135
Camdenton PWS,3,65020,29029
Osage Beach East PWS,103,65020,29029
Kk Water Supply,8,65020,29029
Osage Beach West PWS,83,65020,29029
The Knolls,13,65020,29029
Old Kinderhook Community,8,65020,29029
Centertown PWS,67,65023,29051
Cole County Public Water Supply District 3,147,65023,29051
Cole County PWSD 1,172,65023,29051
Eugene PWS,31,65023,29051
Russellville PWS,100,65023,29051
Bakersfield PWS,14,65062,29151
East Wind Community,1,65062,29151
Gainesville PWS,263,65062,29151
Ozark County Public Water Supply District 1,329,65062,29151
Sundown Water System Inc.,1,65062,29151
Bourbon PWS,13,65066,29073
Lead M The Oaks,2,65066,29073
Leasburg PWS,1,65066,29073
Route 66 Homes,38,65066,29073
Steelville PWS,14,65066,29073
Village of West Sullivan,1,65066,29073
Fayette PWS,1802,65230,29089
Glasgow PWS,1120,65230,29089
Howard County Cons Public Water Supply District 1,1915,65230,29089
Howard County Public Water Supply District 2,1551,65230,29089
Howard County Regional Water Comm.,1128,65230,29089
New Franklin PWS,2178,65230,29089
Crestview Mobile Home Park,0,65301,29159
Green Ridge PWS,43,65301,29159
Hidden Hills Estates,44,65301,29159
Houstonia PWS,97,65301,29159
Hughesville PWS,30,65301,29159
La Monte PWS,79,65301,29159
Meadowlark Acres Mobile Home Park,30,65301,29159
Missouri Utilities Company,25,65301,29159
Monsees Lake Estates,0,65301,29159
Show Me Christian Youth Home,25,65301,29159
Smithton PWS,166,65301,29159
Southgate Subdivision,0,65301,29159
Stoney Ridge Village,140,65301,29159
Woolery Mobile Home Park,24,65301,29159
Arrow Rock PWS,2341,65320,29195
Gilliam PWS,2334,65320,29195
Malta Bend PWS,2923,65320,29195
Miami PWS,2795,65320,29195
Nelson PWS,2899,65320,29195
Saline County Public Water Supply District 1,11251,65320,29195
Slater PWS,2470,65320,29195
Sweet Springs PWS,3727,65320,29195
Lincoln PWS,13,65325,29015
Blue Branch Improvement Association Inc.,0,65338,29015
Braden Park Village,106,65338,29015
Cedar Gate Estates,3,65338,29015
Cole Turkey Acres,11,65338,29015
Country Lakes Rv Resort,0,65338,29015
Docs Retreat Unit 1,0,65338,29015
Ionia PWS,97,65338,29015
Keithley Beach Subdivision,138,65338,29015
Lake Hills Park,13,65338,29015
Lake Ridge Bay,0,65338,29015
Oak Ridge Acres,0,65338,29015
Ocwc Spring Branch Water,2,65338,29015
Our Slice of Paradise,12,65338,29015
Pom Osa Height Subdivision,0,65338,29015
Southview Mobile Home Park & Rv Camp,3,65338,29015
Sterett Creek Village,1,65338,29015
Sycamore Valley Subdivision,0,65338,29015
The Missing Well,0,65338,29015
Twin Lakes Mobile Home and Rv Park LLC,0,65338,29015
Winegars Teal Bend Subdivision,20,65338,29015
Alta Vista Mobile Villa,10,65401,29161
Cedar Knoll Home,0,65401,29161
Ferndale Residential Care II,0,65401,29161
Great Circle,0,65401,29161
Lakeside Community Inc.,0,65401,29161
Newburg PWS,0,65401,29161
Phelps County Public Water Supply District 1,37,65401,29161
Rolla,125,65401,29161
Shady Lane Trailer Park,0,65401,29161
St. James,303,65401,29161
Stately Mansion Mobile Villa,26,65401,29161
Sugar Tree Club,0,65401,29161
Tanglewood Mobile Court,0,65401,29161
Cabool PWS,10,65444,29215
Houston PWS,5,65444,29215
Licking PWS,55,65444,29215
Raymondville PWS,9,65444,29215
Summersville PWS,13,65444,29215
Texas County Public Water Supply District 1,401,65444,29215
Crocker PWS,9,65452,29169
Dixon PWS,42,65452,29169
Fort Leonard Wood,1656,65452,29169
Waynesville High Point Estates,2,65452,29169
Waynesville Northern Heights Est Sub,1,65452,29169
Richland PWS,10,65452,29169
Ridge Creek Water Company LLC,50,65452,29169
Shalom Mountain,0,65452,29169
St. Robert,5,65452,29169
Waynesville PWS,30,65452,29169
Conway PWS,12,65463,29105
Laclede County Public Water Supply District 1,8,65463,29105
Hartville PWS,37,65470,29105
Mansfield PWS,77,65470,29105
Mountain Grove PWS,94,65470,29105
Norwood PWS,281,65470,29105
Shady Oak Mobile Home Park,7,65470,29105
Wright County Public Water Supply District 1,1,65470,29105
Buffalo PWS,2,65536,29105
Louisburg PWS,4,65536,29105
Meritts Campground,33,65536,29105
Urbana PWS,47,65536,29105
Henrys Mobile Home Park,1,65548,29091
Howell County Public Water Supply District 1,15,65548,29091
Howell Oregon 2 West,1114,65548,29091
Howell Oregon County Public Water Supply District 2 North,2,65548,29091
West Plains,596,65548,29091
Bolivar,45,65601,29167
Bolivar Southtown Utilities Company Inc.,16,65601,29167
Bybee Estates,103,65601,29167
Fair Play PWS,13,65601,29167
Flemington PWS,94,65601,29167
Good Samaritan Boys Ranch,36,65601,29167
Halfway PWS,0,65601,29167
Humansville PWS,126,65601,29167
Morrisville PWS,0,65601,29167
Pleasant Hope PWS,118,65601,29167
Prairie Heights Subdivision,0,65601,29167
Quail Creek Mobile Home Park,0,65601,29167
Silo Ridge,19,65601,29167
Sunshine Estates,37,65601,29167
Greene County Public Water Supply District 1,29,65604,29077
Willard PWS,7,65604,29077
Strafford PWS,71,65604,29077
Ash Grove PWS,0,65604,29077
Stone County Public Water Supply District 1,11,65605,29009
Crane PWS,483,65605,29009
Branson,1967,65608,29067
Hollister PWS,78,65608,29067
Ava PWS,171,65608,29067
Forsyth PWS,6,65608,29067
Holiday Hills Resort,21,65608,29067
Merriam Woods Village of,31,65608,29067
Nixa,45,65610,29043
Clever PWS,0,65614,29213
Sparta PWS,11,65619,29077
College of The Ozarks,2343,65627,29213
Billings PWS,35,65630,29043
Bilyeu Ridge Water Company LLC,33,65630,29043
Blue Stem Estates Subdivision,0,65630,29043
Cedar Hill Apartments,0,65630,29043
Christian County Public Water Supply District 1,16,65630,29043
Citydel Mobile Home Park,3,65630,29043
Ctw Waterworks Inc.,210,65630,29043
Finley Valley/city of Ozark,0,65630,29043
Gold Ridge North,0,65630,29043
Highlandville PWS,4,65630,29043
Midland Water Company,1,65630,29043
Pippinville & Oak Park Owners Association,24,65630,29043
South Oaks Mobile Home Park,89,65630,29043
Sparta Mobile Home Park,11,65630,29043
Twin Ridges Park Inc.,349,65630,29043
White Pine Village,1,65630,29043
Diggins PWS,334,65632,29105
Fordland PWS,320,65632,29105
Fountain Plaza Mobile Home Park,562,65632,29105
Joyce Rentals,102,65632,29105
Marshfield PWS,24,65632,29105
Niangua PWS,111,65632,29105
Oak Ridge Estates,1,65632,29105
Ozark Correctional Center,0,65632,29105
Rogersville PWS,758,65632,29105
Seymour PWS,7,65632,29105
Reeds Spring PWS,59,65633,29209
Country Aire Apartments,14,65637,29153
Cross Timbers PWS,1,65650,29085
Fugate Mobile Home Park,22,65650,29085
Hermitage PWS,145,65650,29085
